 Projeção da População do Brasil por sexo e idade simples: 2000-2060
População residente por Idade simples e Ano
Sexo: Feminino
Período:2000-2025
"Idade simples";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"67 anos";375015;386965;400787;415644;432824;446923;456131;462880;472136;482610;497855;520301;547543;575465;605002;634438;662884;690781;720105;750540;781090;811693;842191;872657;902726;933360
"68 anos";358865;367362;379264;393003;407767;424813;438839;448066;454873;464145;474614;489785;512048;539037;566702;595972;625147;653353;681019;710097;740274;770572;800922;831180;861408;891245
"69 anos";345067;351548;360058;371905;385559;400221;417133;431080;440316;447177;456458;466918;482011;504086;530825;558237;587245;616164;644126;671557;700389;730308;760352;790455;820468;850455
"70 anos";330927;336181;342707;351208;362970;376491;391004;407720;421546;430771;437670;446952;457388;472365;494191;520604;547688;576348;604923;632567;659688;688194;717770;747481;777251;806944
"71 anos";317319;320560;325890;332444;340915;352549;365897;380215;396680;410344;419533;426470;435737;446126;460952;482467;508483;535158;563391;591542;618790;645526;673627;702784;732076;761439
"72 anos";301473;307387;310752;316140;322709;331139;342639;355811;369927;386147;399642;408803;415775;425013;435346;450016;471226;496851;523123;550929;578661;605511;631869;659569;688312;717193
"73 anos";281855;292043;297989;301462;306890;313462;321839;333206;346195;360112;376086;389423;398551;405544;414748;425018;439528;460438;485674;511550;538932;566246;592708;618690;645993;674323
"74 anos";259951;273038;283119;289086;292646;298101;304667;312985;324211;337021;350735;366477;379663;388750;395754;404911;415116;429462;450075;474925;500408;527370;554275;580352;605961;632873
"75 anos";238876;249560;262370;272293;278262;281906;287375;293907;302135;313164;325731;339196;354653;367631;376649;383653;392740;402849;416976;437201;461555;486531;512961;539339;564921;590049
"76 anos";218074;227144;237571;250033;259752;265697;269421;274879;281357;289454;300240;312522;325700;340791;353517;362435;369426;378418;388392;402246;422000;445749;470111;495893;521638;546617
"77 anos";198295;207359;216233;226401;238521;248031;253936;257715;263150;269558;277516;288075;300094;312979;327715;340183;348998;355960;364842;374674;388257;407543;430703;454468;479616;504739
"78 anos";180237;188546;197393;206066;215978;227758;237056;242905;246721;252120;258448;266284;276631;288383;300981;315365;327580;336280;343195;351959;361645;374956;393784;416369;439548;464080
"79 anos";163543;171373;179483;188109;196574;206231;217679;226762;232548;236384;241734;247992;255712;265849;277338;289646;303686;315650;324225;331084;339724;349258;362295;380674;402697;425305
"80 anos";147220;153050;160619;168460;176801;185001;194329;205357;214159;219851;223698;228999;235174;242733;252594;263744;275681;289280;300911;309317;316090;324561;333889;346570;364377;385686
"81 anos";131551;135392;141032;148278;155790;163785;171655;180585;191108;199569;205136;209001;214243;220307;227659;237180;247916;259401;272466;283691;291880;298535;306791;315863;328110;345224
"82 anos";116813;120980;124760;130199;137125;144314;151969;159514;168052;178090;186218;191662;195544;200702;206635;213776;222961;233290;244338;256885;267708;275676;282197;290229;299042;310867
"83 anos";103075;107429;111479;115176;120409;127025;133902;141217;148443;156606;166175;173993;179318;183189;188251;194042;200969;209825;219753;230378;242424;252853;260593;266969;274779;283329
